"","ent","cve","nivel","servicio","total","alumnos","docentes"
"1","BAJA CALIFORNIA","02001","PREESCOLAR","COMUNITARIO",48,201,35
"2","BAJA CALIFORNIA","02001","PREESCOLAR","GENERAL",163,12704,546
"3","BAJA CALIFORNIA","02001","PREESCOLAR","INDÍGENA",44,2447,89
"4","BAJA CALIFORNIA","02001","PRIMARIA","COMUNITARIO",23,282,17
"5","BAJA CALIFORNIA","02001","PRIMARIA","GENERAL",242,46689,1816
"6","BAJA CALIFORNIA","02001","PRIMARIA","INDÍGENA",55,8268,328
"7","BAJA CALIFORNIA","02001","SECUNDARIA","COMUNITARIO",4,49,4
"8","BAJA CALIFORNIA","02001","SECUNDARIA","GENERAL",44,14708,721
"9","BAJA CALIFORNIA","02001","SECUNDARIA","TÉCNICA",20,8990,372
"10","BAJA CALIFORNIA","02001","SECUNDARIA","TELESECUNDARIA",58,4394,200
"11","BAJA CALIFORNIA","02002","PREESCOLAR","COMUNITARIO",46,319,41
"12","BAJA CALIFORNIA","02002","PREESCOLAR","GENERAL",296,27299,1194
"13","BAJA CALIFORNIA","02002","PREESCOLAR","INDÍGENA",1,11,1
"14","BAJA CALIFORNIA","02002","PRIMARIA","COMUNITARIO",2,59,3
"15","BAJA CALIFORNIA","02002","PRIMARIA","GENERAL",403,91650,3652
"16","BAJA CALIFORNIA","02002","PRIMARIA","INDÍGENA",1,24,1
"17","BAJA CALIFORNIA","02002","SECUNDARIA","COMUNITARIO",1,12,1
"18","BAJA CALIFORNIA","02002","SECUNDARIA","GENERAL",117,43284,2221
"19","BAJA CALIFORNIA","02002","SECUNDARIA","TÉCNICA",21,8372,288
"20","BAJA CALIFORNIA","02002","SECUNDARIA","TELESECUNDARIA",10,386,33
"21","BAJA CALIFORNIA","02003","PREESCOLAR","COMUNITARIO",7,55,7
"22","BAJA CALIFORNIA","02003","PREESCOLAR","GENERAL",41,3207,131
"23","BAJA CALIFORNIA","02003","PRIMARIA","COMUNITARIO",3,49,4
"24","BAJA CALIFORNIA","02003","PRIMARIA","GENERAL",65,11209,441
"25","BAJA CALIFORNIA","02003","PRIMARIA","INDÍGENA",1,17,0
"26","BAJA CALIFORNIA","02003","SECUNDARIA","COMUNITARIO",1,0,0
"27","BAJA CALIFORNIA","02003","SECUNDARIA","GENERAL",11,5190,225
"28","BAJA CALIFORNIA","02003","SECUNDARIA","TÉCNICA",3,514,20
"29","BAJA CALIFORNIA","02003","SECUNDARIA","TELESECUNDARIA",7,644,27
"30","BAJA CALIFORNIA","02004","PREESCOLAR","COMUNITARIO",12,84,7
"31","BAJA CALIFORNIA","02004","PREESCOLAR","GENERAL",290,35423,1426
"32","BAJA CALIFORNIA","02004","PREESCOLAR","INDÍGENA",9,917,35
"33","BAJA CALIFORNIA","02004","PRIMARIA","COMUNITARIO",7,191,7
"34","BAJA CALIFORNIA","02004","PRIMARIA","GENERAL",484,165105,5605
"35","BAJA CALIFORNIA","02004","PRIMARIA","INDÍGENA",10,2517,83
"36","BAJA CALIFORNIA","02004","SECUNDARIA","GENERAL",122,62983,2471
"37","BAJA CALIFORNIA","02004","SECUNDARIA","TÉCNICA",39,24703,837
"38","BAJA CALIFORNIA","02004","SECUNDARIA","TELESECUNDARIA",22,4658,177
"39","BAJA CALIFORNIA","02005","PREESCOLAR","COMUNITARIO",3,1,1
"40","BAJA CALIFORNIA","02005","PREESCOLAR","GENERAL",35,2864,125
"41","BAJA CALIFORNIA","02005","PREESCOLAR","INDÍGENA",1,59,3
"42","BAJA CALIFORNIA","02005","PRIMARIA","COMUNITARIO",1,4,1
"43","BAJA CALIFORNIA","02005","PRIMARIA","GENERAL",40,11261,376
"44","BAJA CALIFORNIA","02005","PRIMARIA","INDÍGENA",1,164,6
"45","BAJA CALIFORNIA","02005","SECUNDARIA","GENERAL",8,3915,285
"46","BAJA CALIFORNIA","02005","SECUNDARIA","TÉCNICA",4,1772,58
"47","BAJA CALIFORNIA","02005","SECUNDARIA","TELESECUNDARIA",4,387,15
"48","AGUASCALIENTES","01001","PREESCOLAR","COMUNITARIO",36,452,46
"49","AGUASCALIENTES","01001","PREESCOLAR","GENERAL",179,26433,932
"50","AGUASCALIENTES","01001","PRIMARIA","COMUNITARIO",10,140,11
"51","AGUASCALIENTES","01001","PRIMARIA","GENERAL",280,85671,2469
"52","AGUASCALIENTES","01001","SECUNDARIA","COMUNITARIO",5,62,6
"53","AGUASCALIENTES","01001","SECUNDARIA","GENERAL",55,27997,1268
"54","AGUASCALIENTES","01001","SECUNDARIA","TÉCNICA",35,17291,791
"55","AGUASCALIENTES","01001","SECUNDARIA","TELESECUNDARIA",32,3414,135
"56","AGUASCALIENTES","01002","PREESCOLAR","COMUNITARIO",18,213,21
"57","AGUASCALIENTES","01002","PREESCOLAR","GENERAL",33,2092,57
"58","AGUASCALIENTES","01002","PRIMARIA","COMUNITARIO",4,31,3
"59","AGUASCALIENTES","01002","PRIMARIA","GENERAL",47,6884,201
"60","AGUASCALIENTES","01002","SECUNDARIA","COMUNITARIO",1,0,0
"61","AGUASCALIENTES","01002","SECUNDARIA","TÉCNICA",4,1520,50
"62","AGUASCALIENTES","01002","SECUNDARIA","TELESECUNDARIA",25,1758,71
"63","AGUASCALIENTES","01003","PREESCOLAR","COMUNITARIO",22,226,26
"64","AGUASCALIENTES","01003","PREESCOLAR","GENERAL",23,1752,52
"65","AGUASCALIENTES","01003","PRIMARIA","COMUNITARIO",10,122,11
"66","AGUASCALIENTES","01003","PRIMARIA","GENERAL",39,6381,179
"67","AGUASCALIENTES","01003","SECUNDARIA","COMUNITARIO",4,36,4
"68","AGUASCALIENTES","01003","SECUNDARIA","GENERAL",4,1893,62
"69","AGUASCALIENTES","01003","SECUNDARIA","TÉCNICA",3,356,17
"70","AGUASCALIENTES","01003","SECUNDARIA","TELESECUNDARIA",17,927,34
"71","AGUASCALIENTES","01004","PREESCOLAR","COMUNITARIO",2,31,3
"72","AGUASCALIENTES","01004","PREESCOLAR","GENERAL",9,792,25
"73","AGUASCALIENTES","01004","PRIMARIA","GENERAL",11,2100,57
"74","AGUASCALIENTES","01004","SECUNDARIA","TÉCNICA",1,396,18
"75","AGUASCALIENTES","01004","SECUNDARIA","TELESECUNDARIA",7,625,25
"76","AGUASCALIENTES","01005","PREESCOLAR","COMUNITARIO",7,86,9
"77","AGUASCALIENTES","01005","PREESCOLAR","GENERAL",36,4098,139
"78","AGUASCALIENTES","01005","PRIMARIA","COMUNITARIO",1,5,1
"79","AGUASCALIENTES","01005","PRIMARIA","GENERAL",51,13042,384
"80","AGUASCALIENTES","01005","SECUNDARIA","COMUNITARIO",1,14,1
"81","AGUASCALIENTES","01005","SECUNDARIA","GENERAL",4,2116,98
"82","AGUASCALIENTES","01005","SECUNDARIA","TÉCNICA",7,3371,137
"83","AGUASCALIENTES","01005","SECUNDARIA","TELESECUNDARIA",18,1373,58
"84","AGUASCALIENTES","01006","PREESCOLAR","COMUNITARIO",7,97,9
"85","AGUASCALIENTES","01006","PREESCOLAR","GENERAL",19,1619,59
"86","AGUASCALIENTES","01006","PRIMARIA","GENERAL",25,5400,158
"87","AGUASCALIENTES","01006","SECUNDARIA","COMUNITARIO",1,12,1
"88","AGUASCALIENTES","01006","SECUNDARIA","TÉCNICA",4,2162,90
"89","AGUASCALIENTES","01006","SECUNDARIA","TELESECUNDARIA",8,817,35
"90","AGUASCALIENTES","01007","PREESCOLAR","COMUNITARIO",3,27,4
"91","AGUASCALIENTES","01007","PREESCOLAR","GENERAL",27,2297,81
"92","AGUASCALIENTES","01007","PRIMARIA","COMUNITARIO",2,13,2
"93","AGUASCALIENTES","01007","PRIMARIA","GENERAL",34,6770,189
"94","AGUASCALIENTES","01007","SECUNDARIA","GENERAL",4,1857,96
"95","AGUASCALIENTES","01007","SECUNDARIA","TÉCNICA",2,922,38
"96","AGUASCALIENTES","01007","SECUNDARIA","TELESECUNDARIA",11,1095,42
"97","AGUASCALIENTES","01008","PREESCOLAR","COMUNITARIO",2,19,2
"98","AGUASCALIENTES","01008","PREESCOLAR","GENERAL",6,359,9
"99","AGUASCALIENTES","01008","PRIMARIA","COMUNITARIO",4,48,5
"100","AGUASCALIENTES","01008","PRIMARIA","GENERAL",7,1147,33
"101","AGUASCALIENTES","01008","SECUNDARIA","COMUNITARIO",3,17,3
"102","AGUASCALIENTES","01008","SECUNDARIA","TÉCNICA",1,282,15
"103","AGUASCALIENTES","01008","SECUNDARIA","TELESECUNDARIA",5,207,6
"104","AGUASCALIENTES","01009","PREESCOLAR","COMUNITARIO",3,32,3
"105","AGUASCALIENTES","01009","PREESCOLAR","GENERAL",17,1125,32
"106","AGUASCALIENTES","01009","PRIMARIA","GENERAL",22,3171,95
"107","AGUASCALIENTES","01009","SECUNDARIA","GENERAL",1,314,12
"108","AGUASCALIENTES","01009","SECUNDARIA","TÉCNICA",2,444,16
"109","AGUASCALIENTES","01009","SECUNDARIA","TELESECUNDARIA",13,726,24
"110","AGUASCALIENTES","01010","PREESCOLAR","COMUNITARIO",11,64,11
"111","AGUASCALIENTES","01010","PREESCOLAR","GENERAL",17,774,14
"112","AGUASCALIENTES","01010","PRIMARIA","COMUNITARIO",5,42,5
"113","AGUASCALIENTES","01010","PRIMARIA","GENERAL",24,2631,65
"114","AGUASCALIENTES","01010","SECUNDARIA","COMUNITARIO",1,7,1
"115","AGUASCALIENTES","01010","SECUNDARIA","TÉCNICA",1,435,16
"116","AGUASCALIENTES","01010","SECUNDARIA","TELESECUNDARIA",13,909,37
"117","AGUASCALIENTES","01011","PREESCOLAR","COMUNITARIO",6,77,9
"118","AGUASCALIENTES","01011","PREESCOLAR","GENERAL",19,2267,77
"119","AGUASCALIENTES","01011","PRIMARIA","COMUNITARIO",1,8,1
"120","AGUASCALIENTES","01011","PRIMARIA","GENERAL",29,7559,212
"121","AGUASCALIENTES","01011","SECUNDARIA","TÉCNICA",6,1906,88
"122","AGUASCALIENTES","01011","SECUNDARIA","TELESECUNDARIA",13,1890,67
"123","AGUASCALIENTES","01035","PREESCOLAR","COMUNITARIO",1,2,1
