Clave del centro de trabajo,Clave del turno,Nombre del turno,Nombre del centro de trabajo,Tipo educativo,Nivel educativo,Servicio educativo,Nombre del control (Público o Privado),Tipo de sostenimiento,Clave de la entidad federativa,Nombre de la entidad,Clave del municipio o delegación,Nombre del municipio o delegación,Clave de la localidad,Nombre de localidad,Domicilio,Número exterior,Entre la calle,Y la calle,Calle posterior,Colonia,Nombre de la colonia,Código postal,Clave lada,Teléfono,Extensión del teléfono,Página web,Alumnos total (hombres),Alumnos total (mujeres),Alumnos total,Docentes total (hombres),Docentes total (mujeres),Docentes total,Aulas en uso,Aulas existentes,"Tipo de localidad U - Urbano, R - Rural","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados"
26DJN0577Y,1,MATUTINO,CARLOS CHAVEZ,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,26,SONORA,23,CUMPAS,25,OJO DE AGUA,CALLE JUAREZ,0,NINGUNO NINGUNO,CALLE TERCERA,NINGUNO NINGUNO,1,NINGUNO,84504,,,,,12,8,20,0,1,1,1,1,,109:47:20.00 W,30:1:58.00 N,-109.788889,30.032778
26DJN0589C,1,MATUTINO,JORGE ISSACS,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,26,SONORA,42,NAVOJOA,1,NAVOJOA,CALLE CAJEME,0,CALLE V,CALLE VII,CALLE CANANEA,49,NINGUNO,0,4390945,4390945,,,56,69,125,0,5,5,5,6,,109:25:45.44 W,27:3:12.09 N,-109.429288,27.053358
26DJN0729M,1,MATUTINO,JARDIN DE NIÑOS NUEVA CREACION PUERTA DE ANZA,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,26,SONORA,43,NOGALES,1,HEROICA NOGALES,BOULEVARD PASEO ROMANZA,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,234,LOMAS DE ANZA,84086,,,,,89,73,162,0,7,7,5,5,,110:53:43.79 W,31:18:37.59 N,-110.895497,31.310443
26DML0019L,1,MATUTINO,CENTRO DE ATENCION MULTIPLE NUM. 19,ESPECIAL,CAM,CAM,PÚBLICO,FEDERAL TRANSFERIDO,26,SONORA,35,IMURIS,1,IMURIS,CALLE ASTORGA,0,CALLE FRANCISCO VILLA,CALLE SIN REFERENCIA,NINGUNO NINGUNO,11,NINGUNO,84120,3263070,3263070,,,30,17,47,1,4,5,5,5,,110:50:36.48 W,30:47:19.88 N,-110.843466,30.788856
26DJN0360Z,1,MATUTINO,IGNACIO ALLENDE,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,26,SONORA,17,CABORCA,1,HEROICA CABORCA,CALLE 11,30,CALLE 6 DE ABRIL,CALLE 11,NINGUNO NINGUNO,65,SAN LUIS,83680,3723288,3723288,,,41,29,70,0,3,3,3,3,,112:8:52.17 W,30:43:7.98 N,-112.147825,30.718882
26DJN0362Y,1,MATUTINO,PASCUAL ORTIZ RUBIO,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,26,SONORA,64,TRINCHERAS,1,TRINCHERAS,CALLE 20 DE NOVIEMBRE,0,CALLE IGNACIO ZARAGOZA,CALLE NARCISO MENDOZA,CALLE HERMENEGILDO GALEANA,6,TRINCHERAS CENTRO,83930,,,,,14,19,33,0,2,2,2,3,,111:31:53.24 W,30:23:54.83 N,-111.531456,30.398564
26DJN0378Z,1,MATUTINO,MARGARITA PAZ PAREDES,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,26,SONORA,18,CAJEME,1,CIUDAD OBREGÓN,CALLE ABELARDO L. RODRIGUEZ,0,CALLE GENERAL ADOLFO DE LA HUERTA,CALLE ROMAN YOCUPICIO,NINGUNO NINGUNO,15,CAJEME,85050,6444140750,6444140750,,,69,85,154,0,6,6,6,6,,109:55:19.01 W,27:31:3.97 N,-109.921946,27.517769
26DJN0616J,1,MATUTINO,MARTIN LUIS GUZMAN,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,26,SONORA,30,HERMOSILLO,1,HERMOSILLO,CALLE PARRAL,0,CALLE LAS AGUILAS,CALLE ROSARIO IBARRA DE PIEDRA,CALLE CHAPALA,815,CUARTEL XX CAFE COMBATE,83165,2103566,2103566,,,79,67,146,0,6,6,6,6,,110:55:16.62 W,29:6:12.27 N,-110.921283,29.103408
26DJN0620W,1,MATUTINO,LOS OLIVOS,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,26,SONORA,55,SAN LUIS RÍO COLORADO,17,INGENIERO LUIS B. SÁNCHEZ,CALLE YUCATECOS,0,NINGUNO NINGUNO,CALLE DE LAS AMERICAS,NINGUNO NINGUNO,8,NINGUNO,83500,5304282,5304282,,,27,27,54,0,1,1,2,2,,115:0:23.26 W,32:12:22.73 N,-115.006461,32.206314
26DJN0575Z,1,MATUTINO,SILVESTRE RODRIGUEZ,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,26,SONORA,41,NACOZARI DE GARCÍA,1,NACOZARI DE GARCÍA,NINGUNO NINGUNO,0,CALLE ELISEO NAVARRO VALENZUELA,CALLE OPOSURA,CALLE ELISEO NAVARRO VALENZUELA,44,NINGUNO,0,6343459532,6343459532,,,19,25,44,0,2,2,2,2,,109:41:5.16 W,30:22:23.16 N,-109.684767,30.3731
