Clave del centro de trabajo,Clave del turno,Nombre del turno,Nombre del centro de trabajo,Tipo educativo,Nivel educativo,Servicio educativo,Nombre del control (Público o Privado),Tipo de sostenimiento,Clave de la entidad federativa,Nombre de la entidad,Clave del municipio o delegación,Nombre del municipio o delegación,Clave de la localidad,Nombre de localidad,Domicilio,Número exterior,Entre la calle,Y la calle,Calle posterior,Colonia,Nombre de la colonia,Código postal,Clave lada,Teléfono,Extensión del teléfono,Página web,Alumnos total (hombres),Alumnos total (mujeres),Alumnos total,Docentes total (hombres),Docentes total (mujeres),Docentes total,Aulas en uso,Aulas existentes,"Tipo de localidad U - Urbano, R - Rural","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados"
02PJN0003G,1,MATUTINO,"CRI CRI, A.C.",BÁSICA,PREESCOLAR,GENERAL,PRIVADO,PRIVADO,2,BAJA CALIFORNIA,4,TIJUANA,1,TIJUANA,AVENIDA ERMITA NORTE,9,CALLE DOLORES,CALLE BABURIAS DEL MAR,AVENIDA TECORIPA,134,DIMENSTEIN,22105,6646216140,6646216140,,,21,6,27,0,2,2,2,3,,117:4:48.00 W,32:29:49.20 N,-117.08,32.497
02PJN0259G,1,MATUTINO,LOS PIBES,BÁSICA,PREESCOLAR,GENERAL,PRIVADO,PRIVADO,2,BAJA CALIFORNIA,1,ENSENADA,1,ENSENADA,AVENIDA RUIZ,1165,CALLE 11,CALLE 12,AVENIDA ÁLVARO OBREGÓN,138,ZONA CENTRO,0,6461741503,6461741503,,,48,54,102,0,3,3,5,5,,116:35:60.00 W,31:48:18.00 N,-116.6,31.805
02PDI0040O,4,DISCONTINUO,"ESTANCIA INFANTIL MI PEQUEÑO CAILLOU, A.C.",INICIAL,INICIAL,LACTANTE Y MATERNAL,PRIVADO,PRIVADO,2,BAJA CALIFORNIA,4,TIJUANA,1,TIJUANA,AVENIDA DE LOS INSURGENTES,19080,AVENIDA CAMPOS,NINGUNO NINGUNO,NINGUNO NINGUNO,895,LIBRAMIENTO,22226,6649695425,6649695425,,,102,76,178,0,0,0,8,8,,117:4:48.00 W,32:29:49.20 N,-117.08,32.497
02PBT0265T,3,NOCTURNO,COLEGIO DE BELLEZA VALLARTA DOS,CAPACITACIÓN,FORMACIÓN PARA EL TRABAJO,FORMACIÓN PARA EL TRABAJO,PRIVADO,PRIVADO,2,BAJA CALIFORNIA,4,TIJUANA,1,TIJUANA,AVENIDA FRANCISCO JAVIER MINA,100,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,307,MARIANO MATAMOROS (CENTRO),22234,6646221202,6646221202,,,,,,,,,,,,117:4:48.00 W,32:29:49.20 N,-117.08,32.497
02PBT0265T,2,VESPERTINO,COLEGIO DE BELLEZA VALLARTA DOS,CAPACITACIÓN,FORMACIÓN PARA EL TRABAJO,FORMACIÓN PARA EL TRABAJO,PRIVADO,PRIVADO,2,BAJA CALIFORNIA,4,TIJUANA,1,TIJUANA,AVENIDA FRANCISCO JAVIER MINA,100,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,307,MARIANO MATAMOROS (CENTRO),22234,6646221202,6646221202,,,,,,,,,,,,117:4:48.00 W,32:29:49.20 N,-117.08,32.497
02PBT0265T,1,MATUTINO,COLEGIO DE BELLEZA VALLARTA DOS,CAPACITACIÓN,FORMACIÓN PARA EL TRABAJO,FORMACIÓN PARA EL TRABAJO,PRIVADO,PRIVADO,2,BAJA CALIFORNIA,4,TIJUANA,1,TIJUANA,AVENIDA FRANCISCO JAVIER MINA,100,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,307,MARIANO MATAMOROS (CENTRO),22234,6646221202,6646221202,,,,,,,,,,,,117:4:48.00 W,32:29:49.20 N,-117.08,32.497
02PES0010Z,1,MATUTINO,INSTITUTO JULIO KOLBE,BÁSICA,SECUNDARIA,GENERAL,PRIVADO,PRIVADO,2,BAJA CALIFORNIA,4,TIJUANA,1,TIJUANA,BOULEVARD REFUGIO,0,BOULEVARD HEROES DE LA INDEPENDENCIA,AVENIDA EL FLORIDO,AVENIDA LOMAS VIRREYES NORTE,840,FLORIDO IA SECCIÓN,22237,6644543412,6644543412,,,154,168,322,4,5,9,10,10,,116:52:42.13 W,32:27:40.09 N,-116.878369,32.461136
02PCT0062X,4,DISCONTINUO,BACHILLERATO TECNOLOGICO KOLBE,MEDIA SUPERIOR,MEDIA SUPERIOR,TECNOLÓGICO,PRIVADO,PRIVADO,2,BAJA CALIFORNIA,4,TIJUANA,1,TIJUANA,BOULEVARD EL REFUGIO,25420,BOULEVARD EL FLORIDO,BOULEVARD HEROES DE LA INDEPENDENCIA,NINGUNO NINGUNO,577,NINGUNO,22237,6649782818,6649782818,,,,,,,,,,,,117:4:48.00 W,32:29:49.20 N,-117.08,32.497
02PES0126Z,1,MATUTINO,CENTRO EDUCATIVO ESPERANZA,BÁSICA,SECUNDARIA,GENERAL,PRIVADO,PRIVADO,2,BAJA CALIFORNIA,2,MEXICALI,1,MEXICALI,CALLE SEGUNDA,1299,AVENIDA LAGO PÁTZCUARO,AVENIDA LAGO CHAPALA,CALLE TERCERA,228,XOCHIMILCO,21355,6865592717,6865592717,,,28,27,55,2,2,4,3,3,,115:28:12.00 W,32:37:55.20 N,-115.47,32.632
02PES0131L,1,MATUTINO,LICEO UDC PLANTEL SANTA FE,BÁSICA,SECUNDARIA,GENERAL,PRIVADO,PRIVADO,2,BAJA CALIFORNIA,4,TIJUANA,1,TIJUANA,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,903,LOMAS DEL MAR,22564,6646884207,6646884207,,,40,32,72,0,4,4,3,3,,117:4:48.00 W,32:29:49.20 N,-117.08,32.497
