"","CVE","NOM_MUN","total","covid","covid_1"
"1","01005","Jesús María",14,NA,"Uno o más casos"
"2","01011","San Francisco de los Romo",4,NA,"Uno o más casos"
"3","01001","Aguascalientes",314,NA,"Uno o más casos"
"4","01008","San José de Gracia",5,NA,"Uno o más casos"
"5","01007","Rincón de Romos",14,NA,"Uno o más casos"
"6","01009","Tepezalá",3,NA,"Uno o más casos"
"7","01004","Cosío",0,NA,"0 casos"
"8","01002","Asientos",2,NA,"Uno o más casos"
"9","01003","Calvillo",10,NA,"Uno o más casos"
"10","01010","El Llano",2,NA,"Uno o más casos"
"11","01006","Pabellón de Arteaga",14,NA,"Uno o más casos"
"12","15001","Acambay de Ruíz Castañeda",3,NA,"Uno o más casos"
"13","15003","Aculco",1,NA,"Uno o más casos"
"14","15004","Almoloya de Alquisiras",0,NA,"0 casos"
"15","15005","Almoloya de Juárez",19,NA,"Uno o más casos"
"16","15006","Almoloya del Río",1,NA,"Uno o más casos"
"17","15007","Amanalco",5,NA,"Uno o más casos"
"18","15008","Amatepec",1,NA,"Uno o más casos"
"19","15012","Atizapán",36,NA,"Uno o más casos"
"20","15014","Atlacomulco",8,NA,"Uno o más casos"
"21","15018","Calimaya",13,NA,"Uno o más casos"
"22","15019","Capulhuac",7,NA,"Uno o más casos"
"23","15021","Coatepec Harinas",4,NA,"Uno o más casos"
"24","15026","Chapa de Mota",0,NA,"0 casos"
"25","15027","Chapultepec",3,NA,"Uno o más casos"
"26","15032","Donato Guerra",0,NA,"0 casos"
"27","15038","Isidro Fabela",2,NA,"Uno o más casos"
"28","15040","Ixtapan de la Sal",1,NA,"Uno o más casos"
"29","15041","Ixtapan del Oro",0,NA,"0 casos"
"30","15042","Ixtlahuaca",51,NA,"Uno o más casos"
"31","15043","Xalatlaco",12,NA,"Uno o más casos"
"32","15045","Jilotepec",5,NA,"Uno o más casos"
"33","15046","Jilotzingo",2,NA,"Uno o más casos"
"34","15047","Jiquipilco",7,NA,"Uno o más casos"
"35","15048","Jocotitlán",8,NA,"Uno o más casos"
"36","15049","Joquicingo",0,NA,"0 casos"
"37","15051","Lerma",31,NA,"Uno o más casos"
"38","15052","Malinalco",0,NA,"0 casos"
