"","cve","nombre","CVE","NOM_MUN"
"1","01005","Jesús María","01011","San Francisco de los Romo"
"2","01005","Jesús María","01001","Aguascalientes"
"3","01005","Jesús María","01008","San José de Gracia"
"4","01005","Jesús María","01003","Calvillo"
"5","01005","Jesús María","01006","Pabellón de Arteaga"
"6","01011","San Francisco de los Romo","01005","Jesús María"
"7","01011","San Francisco de los Romo","01001","Aguascalientes"
"8","01011","San Francisco de los Romo","01002","Asientos"
"9","01011","San Francisco de los Romo","01006","Pabellón de Arteaga"
"10","01001","Aguascalientes","01005","Jesús María"
"11","01001","Aguascalientes","01011","San Francisco de los Romo"
"12","01001","Aguascalientes","01002","Asientos"
"13","01001","Aguascalientes","01003","Calvillo"
"14","01001","Aguascalientes","01010","El Llano"
"15","01001","Aguascalientes","14035","Encarnación de Díaz"
"16","01001","Aguascalientes","14053","Lagos de Moreno"
"17","01001","Aguascalientes","14091","Teocaltiche"
"18","01001","Aguascalientes","14116","Villa Hidalgo"
"19","01008","San José de Gracia","01005","Jesús María"
"20","01008","San José de Gracia","01007","Rincón de Romos"
"21","01008","San José de Gracia","01003","Calvillo"
"22","01008","San José de Gracia","01006","Pabellón de Arteaga"
"23","01008","San José de Gracia","32055","Villanueva"
"24","01008","San José de Gracia","32012","Genaro Codina"
"25","01007","Rincón de Romos","01008","San José de Gracia"
"26","01007","Rincón de Romos","01009","Tepezalá"
"27","01007","Rincón de Romos","01004","Cosío"
"28","01007","Rincón de Romos","01006","Pabellón de Arteaga"
"29","01007","Rincón de Romos","32025","Luis Moya"
"30","01007","Rincón de Romos","32012","Genaro Codina"
"31","01007","Rincón de Romos","32008","Cuauhtémoc"
"32","01009","Tepezalá","01007","Rincón de Romos"
"33","01009","Tepezalá","01002","Asientos"
"34","01009","Tepezalá","01006","Pabellón de Arteaga"
"35","01009","Tepezalá","32025","Luis Moya"
"36","01009","Tepezalá","32024","Loreto"
"37","01004","Cosío","01007","Rincón de Romos"
"38","01004","Cosío","32025","Luis Moya"
"39","01004","Cosío","32008","Cuauhtémoc"
"40","01002","Asientos","01011","San Francisco de los Romo"
"41","01002","Asientos","01001","Aguascalientes"
"42","01002","Asientos","01009","Tepezalá"
"43","01002","Asientos","01010","El Llano"
"44","01002","Asientos","01006","Pabellón de Arteaga"
"45","01002","Asientos","14064","Ojuelos de Jalisco"
"46","01002","Asientos","32052","Villa García"
"47","01002","Asientos","32024","Loreto"
"48","01003","Calvillo","01005","Jesús María"
"49","01003","Calvillo","01001","Aguascalientes"
"50","01003","Calvillo","01008","San José de Gracia"
"51","01003","Calvillo","14116","Villa Hidalgo"
"52","01003","Calvillo","32044","Tabasco"
"53","01003","Calvillo","32018","Huanusco"
"54","01003","Calvillo","32055","Villanueva"
"55","01010","El Llano","01001","Aguascalientes"
"56","01010","El Llano","01002","Asientos"
"57","01010","El Llano","14053","Lagos de Moreno"
"58","01010","El Llano","14064","Ojuelos de Jalisco"
"59","01006","Pabellón de Arteaga","01005","Jesús María"
"60","01006","Pabellón de Arteaga","01011","San Francisco de los Romo"
"61","01006","Pabellón de Arteaga","01008","San José de Gracia"
"62","01006","Pabellón de Arteaga","01007","Rincón de Romos"
"63","01006","Pabellón de Arteaga","01009","Tepezalá"
"64","01006","Pabellón de Arteaga","01002","Asientos"
"65","15001","Acambay de Ruíz Castañeda","15003","Aculco"
"66","15001","Acambay de Ruíz Castañeda","15014","Atlacomulco"
"67","15001","Acambay de Ruíz Castañeda","15085","Temascalcingo"
"68","15001","Acambay de Ruíz Castañeda","15102","Timilpan"
"69","15001","Acambay de Ruíz Castañeda","22001","Amealco de Bonfil"
"70","15003","Aculco","15001","Acambay de Ruíz Castañeda"
"71","15003","Aculco","15045","Jilotepec"
"72","15003","Aculco","15071","Polotitlán"
"73","15003","Aculco","15102","Timilpan"
"74","15003","Aculco","22016","San Juan del Río"
"75","15003","Aculco","22001","Amealco de Bonfil"
"76","15004","Almoloya de Alquisiras","15021","Coatepec Harinas"
"77","15004","Almoloya de Alquisiras","15080","Sultepec"
"78","15004","Almoloya de Alquisiras","15097","Texcaltitlán"
"79","15004","Almoloya de Alquisiras","15117","Zacualpan"
"80","15005","Almoloya de Juárez","15007","Amanalco"
"81","15005","Almoloya de Juárez","15042","Ixtlahuaca"
"82","15005","Almoloya de Juárez","15074","San Felipe del Progreso"
"83","15005","Almoloya de Juárez","15087","Temoaya"
"84","15005","Almoloya de Juárez","15106","Toluca"
"85","15005","Almoloya de Juárez","15114","Villa Victoria"
"86","15005","Almoloya de Juárez","15118","Zinacantepec"
"87","15006","Almoloya del Río","15012","Atizapán"
"88","15006","Almoloya del Río","15073","San Antonio la Isla"
"89","15006","Almoloya del Río","15098","Texcalyacac"
"90","15006","Almoloya del Río","15101","Tianguistenco"
"91","15007","Amanalco","15005","Almoloya de Juárez"
"92","15007","Amanalco","15032","Donato Guerra"
"93","15007","Amanalco","15086","Temascaltepec"
"94","15007","Amanalco","15110","Valle de Bravo"
"95","15007","Amanalco","15111","Villa de Allende"
"96","15007","Amanalco","15114","Villa Victoria"
"97","15007","Amanalco","15118","Zinacantepec"
"98","15008","Amatepec","15080","Sultepec"
"99","15008","Amatepec","15082","Tejupilco"
"100","15008","Amatepec","15105","Tlatlaya"
"101","15008","Amatepec","12058","Teloloapan"
"102","15008","Amatepec","12027","Cutzamala de Pinzón"
"103","15008","Amatepec","12064","Tlalchapa"
"104","15012","Atizapán","15006","Almoloya del Río"
"105","15012","Atizapán","15073","San Antonio la Isla"
"106","15012","Atizapán","15101","Tianguistenco"
"107","15014","Atlacomulco","15001","Acambay de Ruíz Castañeda"
"108","15014","Atlacomulco","15048","Jocotitlán"
"109","15014","Atlacomulco","15056","Morelos"
"110","15014","Atlacomulco","15085","Temascalcingo"
"111","15014","Atlacomulco","15102","Timilpan"
"112","15018","Calimaya","15027","Chapultepec"
"113","15018","Calimaya","15054","Metepec"
"114","15018","Calimaya","15055","Mexicaltzingo"
"115","15018","Calimaya","15072","Rayón"
"116","15018","Calimaya","15073","San Antonio la Isla"
"117","15018","Calimaya","15090","Tenango del Valle"
"118","15018","Calimaya","15101","Tianguistenco"
"119","15018","Calimaya","15106","Toluca"
"120","15019","Capulhuac","15051","Lerma"
"121","15019","Capulhuac","15062","Ocoyoacac"
"122","15019","Capulhuac","15101","Tianguistenco"
"123","15021","Coatepec Harinas","15004","Almoloya de Alquisiras"
"124","15021","Coatepec Harinas","15040","Ixtapan de la Sal"
"125","15021","Coatepec Harinas","15086","Temascaltepec"
"126","15021","Coatepec Harinas","15090","Tenango del Valle"
"127","15021","Coatepec Harinas","15097","Texcaltitlán"
"128","15021","Coatepec Harinas","15113","Villa Guerrero"
"129","15021","Coatepec Harinas","15117","Zacualpan"
"130","15021","Coatepec Harinas","15118","Zinacantepec"
"131","15026","Chapa de Mota","15045","Jilotepec"
"132","15026","Chapa de Mota","15056","Morelos"
"133","15026","Chapa de Mota","15102","Timilpan"
"134","15026","Chapa de Mota","15112","Villa del Carbón"
"135","15026","Chapa de Mota","13063","Tepeji del Río de Ocampo"
"136","15027","Chapultepec","15018","Calimaya"
"137","15027","Chapultepec","15054","Metepec"
"138","15027","Chapultepec","15055","Mexicaltzingo"
"139","15027","Chapultepec","15101","Tianguistenco"
"140","15032","Donato Guerra","15007","Amanalco"
"141","15032","Donato Guerra","15041","Ixtapan del Oro"
